127.0.0.1 - - [21/Jul/2015:14:47:23 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
192.168.123.146 - - [21/Jul/2015:14:48:04 +0200] "GET /jira HTTP/1.1" 302 -
192.168.123.146 - - [21/Jul/2015:14:48:06 +0200] "GET /jira/ HTTP/1.1" 302 -
192.168.123.146 - - [21/Jul/2015:14:48:06 +0200] "GET /jira/secure/MyJiraHome.jspa HTTP/1.1" 302 -
192.168.123.146 - - [21/Jul/2015:14:48:07 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.gadgets:g-admin-plugin-install-css/plugin-install.css HTTP/1.1" 200 566
192.168.123.146 - - [21/Jul/2015:14:48:07 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.10.10/_/download/resources/com.atlassian.gadgets.dashboard:dashboard/gadget-dialog.css HTTP/1.1" 200 2157
192.168.123.146 - - [21/Jul/2015:14:48:07 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.10.10/_/download/resources/com.atlassian.gadgets.dashboard:dashboard/dashboard.css HTTP/1.1" 200 4885
192.168.123.146 - - [21/Jul/2015:14:48:07 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.10.10/_/download/resources/com.atlassian.gadgets.dashboard:dashboard/dashboard-item.css HTTP/1.1" 200 466
192.168.123.146 - - [21/Jul/2015:14:48:07 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.10.10/_/download/resources/com.atlassian.gadgets.dashboard:dashboard/dashboard-pagechrome.css HTTP/1.1" 200 1394
192.168.123.146 - - [21/Jul/2015:14:48:07 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.10.10/_/download/resources/com.atlassian.gadgets.dashboard:dashboard/dashboard-vertnav.css HTTP/1.1" 200 1420
192.168.123.146 - - [21/Jul/2015:14:48:07 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.10.10/_/download/resources/com.atlassian.gadgets.dashboard:dashboard/dashboard-layout-dialog.css HTTP/1.1" 200 3014
192.168.123.146 - - [21/Jul/2015:14:48:07 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.10.10/_/download/resources/com.atlassian.gadgets.dashboard:dashboard/gadget-chrome.css HTTP/1.1" 200 4291
192.168.123.146 - - [21/Jul/2015:14:48:07 +0200] "GET /jira/s/d41d8cd98f00b204e9800998ecf8427e-CDN/fr_FR3c00tt/64019/3/3.10.10/_/download/resources/com.atlassian.gadgets.dashboard:dashboard/gadget-colours.css HTTP/1.1" 200 4404
192.168.123.146 - - [21/Jul/2015:14:48:08 +0200] "GET /jira/s/46e3ad41c37eac2a4330cf06eb8e365c-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.gadgets:dashboard-gadget-chrome/gadget-colours.css HTTP/1.1" 200 2098
192.168.123.146 - - [21/Jul/2015:14:48:08 +0200] "GET /jira/s/1366e6b84cfd7194773313bdcecfe9a4-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.gadgets:login-dashboard-item-resources/static/dashboarditem/login/login.css HTTP/1.1" 200 14555
192.168.123.146 - - [21/Jul/2015:14:48:08 +0200] "GET /jira/s/1366e6b84cfd7194773313bdcecfe9a4-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.gadgets:introduction-dashboard-item-resource/static/dashboarditem/introduction/introduction.css HTTP/1.1" 200 262
192.168.123.146 - - [21/Jul/2015:14:48:08 +0200] "GET /jira/s/b337ed47b96b9922f3ece9a3fcf79017-CDN/fr_FR3c00tt/64019/3/3.10.10/_/download/resources/com.atlassian.gadgets.publisher:dashboard-item-common/dashboard-item/common/dashboard-item-common.css HTTP/1.1" 200 274
192.168.123.146 - - [21/Jul/2015:14:48:09 +0200] "GET /jira/s/1366e6b84cfd7194773313bdcecfe9a4-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.gadgets:admin-dashboard-item-resources/static/dashboarditem/admin/admin.css HTTP/1.1" 200 3395
192.168.123.146 - - [21/Jul/2015:14:48:09 +0200] "GET /jira/s/1366e6b84cfd7194773313bdcecfe9a4-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.gadgets:piechart/static/components/charts/piechart/piechart.css HTTP/1.1" 200 331
192.168.123.146 - - [21/Jul/2015:14:48:09 +0200] "GET /jira/s/1366e6b84cfd7194773313bdcecfe9a4-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.gadgets:piechart-with-legend/static/components/charts/piechart/piechart-with-legend.css HTTP/1.1" 200 371
192.168.123.146 - - [21/Jul/2015:14:48:09 +0200] "GET /jira/s/8285f4c138e8df04b2c3cef3df1f2a4d-CDN/fr_FR3c00tt/64019/3/1.0/_/download/resources/jira.webresources:captcha/captcha.css HTTP/1.1" 200 905
192.168.123.146 - - [21/Jul/2015:14:48:09 +0200] "GET /jira/s/6c166395b2aa3b765735ad3f375faff9-CDN/fr_FR3c00tt/64019/3/6.4.4/_/download/resources/com.atlassian.jira.gadgets:piechart-dashboard-item-resources/static/dashboarditem/piechart/PieChart.css HTTP/1.1" 200 2539
